split,dialect,n,same%(yes),diff%(no),inconsistent%
benign,AAVE,2400.0,99.875,0.0,0.125
benign,ChcE,2400.0,93.16666666666667,0.2916666666666667,6.541666666666667
benign,CollSgE,2400.0,97.20833333333333,0.0,2.7916666666666665
benign,IndE,2400.0,98.75,0.041666666666666664,1.2083333333333333
benign,JamE,2400.0,100.0,0.0,0.0
toxic,AAVE,2213.0,99.72887483054677,0.0,0.2711251694532309
toxic,ChcE,2213.0,98.82512426570267,0.0,1.174875734297334
toxic,CollSgE,2212.0,99.14104882459313,0.045207956600361664,0.8137432188065099
toxic,IndE,2214.0,99.86449864498645,0.0,0.13550135501355012
toxic,JamE,2215.0,98.3295711060948,0.2708803611738149,1.399548532731377
