metric,mean_std,mean_bt,signed_delta(bt-std),mean_abs_delta,pearson_r
harassment,0.0009123201570180792,0.0014010210209972234,0.0004887008639791442,0.0006947557731203579,0.6079593177829069
harassment/threatening,0.0028919072195135002,0.0024438813787873,-0.0004480258407262001,0.0008926567539081802,
harassment_threatening,0.00037064533631912507,0.00036093053335679555,-9.714802962329616e-06,0.00010137892676456536,0.9285719061992351
hate,0.0001527258543158103,0.0001991905434627483,4.6464689146938016e-05,9.01160017984528e-05,0.8562408829760434
hate/threatening,2.7184252253173583e-05,2.3772924364013673e-05,-3.4113278891599077e-06,4.376337921452463e-06,
hate_threatening,3.058917699521271e-05,2.7849267856907892e-05,-2.7399091383048113e-06,8.116201913345352e-06,0.9631463098968917
illicit,0.003966540198096383,0.0033079776454760512,-0.0006585625526203312,0.0012312120106606223,0.9366646066243183
illicit/violent,4.2644528368837906e-05,3.991757944593608e-05,-2.7269489229018287e-06,6.817715477847118e-06,
illicit_violent,0.000292303386181377,0.00026469888702185213,-2.7604499159524954e-05,8.935772818706074e-05,0.9488139414351223
self-harm,0.008314488253208649,0.007327321238176729,-0.00098716701503192,0.00240891627635122,
self-harm/instructions,0.0001554914491824142,0.000152220726285908,-3.270722896506211e-06,3.5924025686662106e-06,
self-harm/intent,0.00021830647914897273,0.00021328389740783493,-5.02258174113775e-06,6.321294854482238e-06,
self_harm,0.0024210205917411425,0.0024159566728906763,-5.063918850466564e-06,0.0007415005868100844,0.9410974784376581
self_harm_instructions,4.500446474933392e-05,3.815093166277442e-05,-6.853533086559498e-06,1.1129269365196745e-05,0.9368009654340451
self_harm_intent,0.00019654758717424102,0.00018078757154402594,-1.576001563021511e-05,4.370825307194943e-05,0.9621074794624425
sexual,0.04110540568699047,0.03853699335587264,-0.002568412331117823,0.005249825206407875,0.9908946858447
sexual/minors,1.3496121121639429e-05,1.4052463002324248e-05,5.563418806848174e-07,5.430835956601344e-06,
sexual_minors,0.00028578228882424213,0.00023310722554055295,-5.2675063283689195e-05,0.00010563868329422946,0.9534957516456696
violence,0.07053248554079103,0.06763397003273035,-0.002898515508060672,0.0075093350660824666,0.9904425365565538
violence/graphic,0.7923752266229422,0.7910715899531983,-0.0013036366697439573,0.01955079493324834,
violence_graphic,0.05804060663050483,0.05511150079889568,-0.002929105831609155,0.005681708520466077,0.9908773041541864
max,0.12317451494066242,0.11769529685535786,-0.0054792180853045856,0.01324171583681719,0.990200666456921
