split,dialect,typo_typo_cos_mean,typo_typo_cos_std,n
benign,AAVE,0.5906736762802238,0.24946756843198784,23951
benign,ChcE,0.6772133256905901,0.18500675970543579,24000
benign,CollSgE,0.5151058193228435,0.2648345149977335,24000
benign,IndE,0.513685341780816,0.2865584505321673,23923
benign,JamE,0.5649134428750241,0.24382534351356483,23990
toxic,AAVE,0.4407436263762912,0.22309770318053065,21607
toxic,ChcE,0.3240676215710585,0.22006485674688653,21630
toxic,CollSgE,0.3147168345466434,0.2185438157870637,21669
toxic,IndE,0.20112870822017279,0.22478519642335418,17668
toxic,JamE,0.568207614974456,0.20511619977804915,22104
