category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Benign_animals,AAVE,1.0,4.75,3.75,400,0.0013189686125793603,2,17
Benign_food,AAVE,5.0,9.5,4.5,400,0.014137969455911475,15,33
Benign_home_scenes,AAVE,4.75,11.25,6.5,400,0.00030804470562774666,11,37
Benign_human_beings,AAVE,8.25,7.75,-0.5,400,0.882783191152826,24,22
Benign_landscapes,AAVE,2.0,4.5,2.5,400,0.06619257972219346,7,17
Benign_transport_vehicles,AAVE,1.7500000000000002,10.75,9.0,400,4.3763180221643244e-07,6,42
Benign_animals,ChcE,1.0,1.7500000000000002,0.7500000000000002,400,0.5464935954065822,4,7
Benign_food,ChcE,5.0,3.75,-1.25,400,0.4576140668763148,17,12
Benign_home_scenes,ChcE,4.75,1.5,-3.25,400,0.012343360353455044,18,5
Benign_human_beings,ChcE,8.25,4.0,-4.25,400,0.010405619868873605,28,11
Benign_landscapes,ChcE,2.0,2.75,0.75,400,0.6276258050283593,7,10
Benign_transport_vehicles,ChcE,1.7500000000000002,3.25,1.4999999999999998,400,0.26355247728296954,7,13
Benign_animals,CollSgE,1.0,8.0,7.0,400,3.6485109408413597e-06,3,31
Benign_food,CollSgE,5.0,14.000000000000002,9.000000000000002,400,4.312468453366182e-06,11,47
Benign_home_scenes,CollSgE,4.75,8.0,3.25,400,0.06091869077971672,14,27
Benign_human_beings,CollSgE,8.25,8.5,0.25,400,1.0,22,23
Benign_landscapes,CollSgE,2.0,7.000000000000001,5.000000000000001,400,0.0003298385207779936,4,24
Benign_transport_vehicles,CollSgE,1.7500000000000002,6.25,4.5,400,0.0019107751373644388,6,24
Benign_animals,IndE,1.0,0.5,-0.5,400,0.6170750774519739,3,1
Benign_food,IndE,5.0,2.0,-3.0,400,0.005959526470109121,14,2
Benign_home_scenes,IndE,4.75,2.0,-2.75,400,0.015293371030198944,14,3
Benign_human_beings,IndE,8.25,2.0,-6.25,400,8.323556199256734e-06,27,2
Benign_landscapes,IndE,2.0,1.0,-1.0,400,0.2888443663464818,6,2
Benign_transport_vehicles,IndE,1.7500000000000002,0.25,-1.5000000000000002,400,0.07709987174354202,7,1
Benign_animals,JamE,1.0,6.75,5.75,400,7.772240795323116e-05,4,27
Benign_food,JamE,5.0,6.5,1.5,400,0.3911725228101395,14,20
Benign_home_scenes,JamE,4.75,6.5,1.75,400,0.33666836761003605,16,23
Benign_human_beings,JamE,8.25,5.0,-3.25,400,0.06725250426083074,28,15
Benign_landscapes,JamE,2.0,4.25,2.25,400,0.08085559837005234,6,15
Benign_transport_vehicles,JamE,1.7500000000000002,9.75,8.0,400,2.9621669392589344e-06,6,38
