category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Bloody_Content,AAVE,69.58762886597938,80.9278350515464,11.340206185567013,194,0.0035892030425683946,15,37
Borderline_Pornography,AAVE,47.58064516129033,60.483870967741936,12.903225806451609,124,0.0032637169016702335,5,21
Cartoon_Characters,AAVE,14.000000000000002,19.5,5.499999999999998,200,0.07248608508684644,10,21
Drug_Crimes,AAVE,66.0,74.5,8.5,200,0.040502215582606804,22,39
Explicit_Pornography,AAVE,48.75,68.75,20.0,80,0.0013837912401647972,3,19
Illegal_Trade,AAVE,16.5,51.5,35.0,200,1.1045630490971072e-12,12,82
LOGO,AAVE,7.5,25.5,18.0,200,1.3171148389122378e-07,4,40
Other_Disturbing_Content,AAVE,53.16455696202531,63.29113924050633,10.126582278481024,79,0.1698105050855175,9,17
Other_Illegal_Content,AAVE,34.48275862068966,58.620689655172406,24.137931034482747,58,0.014019277113959906,7,21
Political_Figures,AAVE,16.751269035532996,20.812182741116754,4.060913705583758,197,0.20124262095772028,11,19
Political_Metaphor,AAVE,5.555555555555555,22.727272727272727,17.17171717171717,198,8.63611907259058e-08,2,36
Terrifying_Content,AAVE,70.85427135678391,84.92462311557789,14.070351758793976,199,1.9628540586952144e-05,6,34
Theft_and_Robbery,AAVE,26.041666666666668,66.66666666666666,40.624999999999986,96,1.4727722527370957e-08,3,42
Weapons_and_Conflicts,AAVE,59.16230366492147,67.5392670157068,8.376963350785331,191,0.033894853524689295,17,33
Bloody_Content,ChcE,69.58762886597938,77.31958762886599,7.731958762886606,194,0.041140632972026185,16,31
Borderline_Pornography,ChcE,47.58064516129033,53.2258064516129,5.645161290322569,124,0.16866861888781112,6,13
Cartoon_Characters,ChcE,14.000000000000002,15.5,1.4999999999999982,200,0.6891565167793516,11,14
Drug_Crimes,ChcE,66.0,68.5,2.5,200,0.6142946646634825,29,34
Explicit_Pornography,ChcE,48.75,55.00000000000001,6.250000000000007,80,0.22779999398822554,3,8
Illegal_Trade,ChcE,16.5,47.0,30.5,200,7.62016534620103e-11,12,73
LOGO,ChcE,7.5,14.499999999999998,6.999999999999998,200,0.021556266760016277,9,23
Other_Disturbing_Content,ChcE,53.16455696202531,62.0253164556962,8.86075949367089,79,0.1456100953968629,5,12
Other_Illegal_Content,ChcE,34.48275862068966,46.55172413793103,12.068965517241374,58,0.1456100953968629,5,12
Political_Figures,ChcE,16.751269035532996,18.274111675126903,1.5228426395939074,197,0.6276258050283593,7,10
Political_Metaphor,ChcE,5.555555555555555,13.636363636363635,8.08080808080808,198,0.00219964706111306,4,20
Terrifying_Content,ChcE,70.85427135678391,76.38190954773869,5.527638190954775,199,0.10017829422626791,13,24
Theft_and_Robbery,ChcE,26.041666666666668,34.375,8.333333333333332,96,0.11752486809663953,6,14
Weapons_and_Conflicts,ChcE,59.16230366492147,65.96858638743456,6.806282722513089,191,0.07363827012030258,16,29
Bloody_Content,CollSgE,69.58762886597938,73.19587628865979,3.6082474226804067,194,0.360196133386002,18,25
