category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Benign_animals,AAVE,12.25,23.0,10.75,400,2.880283139259698e-07,12,55
Benign_food,AAVE,12.5,26.0,13.5,400,4.831592248201723e-09,14,68
Benign_home_scenes,AAVE,10.5,23.5,13.0,400,1.8296295167217228e-10,6,58
Benign_human_beings,AAVE,32.75,54.25,21.5,400,5.672847989662807e-10,51,137
Benign_landscapes,AAVE,11.25,25.0,13.75,400,2.6118789256962227e-10,9,64
Benign_transport_vehicles,AAVE,14.249999999999998,42.5,28.25,400,2.3905243601775688e-24,4,117
Benign_animals,ChcE,12.25,29.25,17.0,400,2.665479518955114e-13,8,76
Benign_food,ChcE,12.5,42.0,29.5,400,1.0497615657911388e-24,6,124
Benign_home_scenes,ChcE,10.5,31.0,20.5,400,5.8917933537251745e-18,3,85
Benign_human_beings,ChcE,32.75,64.5,31.75,400,4.1874187772377647e-19,36,163
Benign_landscapes,ChcE,11.25,36.5,25.25,400,5.094871509734144e-21,6,107
Benign_transport_vehicles,ChcE,14.249999999999998,59.25,45.0,400,9.245132673500507e-40,2,182
Benign_animals,CollSgE,12.25,16.5,4.25,400,0.019604108570366,15,32
Benign_food,CollSgE,12.5,19.25,6.75,400,1.108737020973771e-05,4,31
Benign_home_scenes,CollSgE,10.5,11.75,1.25,400,0.4237107971667936,10,15
Benign_human_beings,CollSgE,32.75,42.5,9.75,400,8.684975139410414e-06,17,56
Benign_landscapes,CollSgE,11.25,17.0,5.75,400,0.000426982234989981,8,31
Benign_transport_vehicles,CollSgE,14.249999999999998,20.75,6.500000000000002,400,0.0008354774920441678,15,41
Benign_animals,IndE,12.25,9.5,-2.75,400,0.07248608508684644,21,10
Benign_food,IndE,12.5,13.0,0.5,400,0.8025873486341526,7,9
Benign_home_scenes,IndE,10.5,8.5,-2.0,400,0.0613688291394023,11,3
Benign_human_beings,IndE,32.75,38.0,5.25,400,0.022654494080089353,28,49
Benign_landscapes,IndE,11.25,10.0,-1.25,400,0.3587953578869416,12,7
Benign_transport_vehicles,IndE,14.249999999999998,15.25,1.0000000000000018,400,0.6582534143112833,21,25
Benign_animals,JamE,12.25,9.25,-3.0,400,0.11979493042591895,31,19
Benign_food,JamE,12.5,6.75,-5.75,400,0.004181219799142918,41,18
Benign_home_scenes,JamE,10.5,5.0,-5.5,400,0.0002053757361412177,27,5
Benign_human_beings,JamE,32.75,15.5,-17.25,400,3.220466103134797e-11,87,18
Benign_landscapes,JamE,11.25,3.5000000000000004,-7.75,400,4.763175554746923e-06,37,6
Benign_transport_vehicles,JamE,14.249999999999998,8.25,-5.999999999999998,400,0.0014250625619923734,38,14
