category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Bloody_Content,AAVE,79.38144329896907,93.29896907216495,13.917525773195877,194,6.010516284923238e-06,3,30
Borderline_Pornography,AAVE,94.35483870967742,98.38709677419355,4.032258064516128,124,0.07363827012030258,0,5
Cartoon_Characters,AAVE,32.5,72.0,39.5,200,4.4495519570208835e-18,1,80
Drug_Crimes,AAVE,96.0,98.5,2.5,200,0.07363827012030258,0,5
Explicit_Pornography,AAVE,97.5,98.75,1.25,80,1.0,0,1
Illegal_Trade,AAVE,50.0,84.5,34.5,200,1.7371856203698526e-15,2,71
LOGO,AAVE,25.0,55.50000000000001,30.500000000000007,200,1.073881217977248e-12,5,66
Other_Disturbing_Content,AAVE,43.037974683544306,70.88607594936708,27.848101265822777,79,7.562306614504704e-06,0,22
Other_Illegal_Content,AAVE,62.06896551724138,87.93103448275862,25.86206896551724,58,0.0006850368653792266,1,16
Political_Figures,AAVE,83.75634517766497,88.83248730964468,5.076142131979708,197,0.033894853524689295,4,14
Political_Metaphor,AAVE,92.42424242424242,98.98989898989899,6.5656565656565675,198,0.0008740872112984756,0,13
Terrifying_Content,AAVE,76.38190954773869,94.9748743718593,18.592964824120614,199,3.2516061726496955e-09,0,37
Theft_and_Robbery,AAVE,84.375,97.91666666666666,13.541666666666657,96,0.0019457736937391556,1,14
Weapons_and_Conflicts,AAVE,94.24083769633508,98.42931937172776,4.18848167539268,191,0.01332832878081758,0,8
Bloody_Content,ChcE,79.38144329896907,87.62886597938144,8.24742268041237,194,0.0007962301575908105,2,18
Borderline_Pornography,ChcE,94.35483870967742,95.96774193548387,1.6129032258064484,124,0.47950012218695337,0,2
Cartoon_Characters,ChcE,32.5,32.0,-0.5,200,1.0,11,10
Drug_Crimes,ChcE,96.0,97.5,1.5,200,0.37109336952269756,1,4
Explicit_Pornography,ChcE,97.5,97.5,0.0,80,0.0,0,0
Illegal_Trade,ChcE,50.0,60.0,10.0,200,0.0011201348827110807,7,27
LOGO,ChcE,25.0,28.000000000000004,3.0000000000000036,200,0.21129954733370696,5,11
Other_Disturbing_Content,ChcE,43.037974683544306,59.49367088607595,16.45569620253164,79,0.0019457736937391556,1,14
Other_Illegal_Content,ChcE,62.06896551724138,72.41379310344827,10.34482758620689,58,0.14891467317876161,3,9
Political_Figures,ChcE,83.75634517766497,81.7258883248731,-2.030456852791872,197,0.4226780741706353,9,5
Political_Metaphor,ChcE,92.42424242424242,92.92929292929293,0.5050505050505052,198,1.0,4,5
Terrifying_Content,ChcE,76.38190954773869,88.44221105527639,12.060301507537702,199,1.382694240651702e-05,2,26
Theft_and_Robbery,ChcE,84.375,94.79166666666666,10.416666666666657,96,0.0093747684594349,1,11
Weapons_and_Conflicts,ChcE,94.24083769633508,96.33507853403141,2.094240837696333,191,0.22067136191984324,1,5
Bloody_Content,CollSgE,79.38144329896907,89.17525773195877,9.793814432989691,194,0.0001745500267034606,2,21
Borderline_Pornography,CollSgE,94.35483870967742,95.96774193548387,1.6129032258064484,124,0.47950012218695337,0,2
Cartoon_Characters,CollSgE,32.5,34.5,2.0,200,0.4532547047537363,6,10
Drug_Crimes,CollSgE,96.0,95.5,-0.5,200,1.0,2,1
Explicit_Pornography,CollSgE,97.5,96.25,-1.25,80,1.0,1,0
Illegal_Trade,CollSgE,50.0,55.50000000000001,5.500000000000007,200,0.08172275229865922,11,22
LOGO,CollSgE,25.0,26.0,1.0,200,0.8025873486341526,7,9
Other_Disturbing_Content,CollSgE,43.037974683544306,51.89873417721519,8.860759493670884,79,0.070440429272088,2,9
Other_Illegal_Content,CollSgE,62.06896551724138,68.96551724137932,6.896551724137936,58,0.2888443663464818,2,6
Political_Figures,CollSgE,83.75634517766497,78.1725888324873,-5.583756345177662,197,0.009823274507519235,13,2
Political_Metaphor,CollSgE,92.42424242424242,90.9090909090909,-1.5151515151515156,198,0.4496917979688908,5,2
Terrifying_Content,CollSgE,76.38190954773869,85.92964824120602,9.547738693467338,199,0.0001745500267034606,2,21
Theft_and_Robbery,CollSgE,84.375,87.5,3.125,96,0.5790997419539188,5,8
Weapons_and_Conflicts,CollSgE,94.24083769633508,93.717277486911,-0.5235602094240761,191,1.0,2,1
Bloody_Content,IndE,79.38144329896907,76.80412371134021,-2.577319587628864,194,0.2672574931543847,9,4
Borderline_Pornography,IndE,94.35483870967742,92.74193548387096,-1.6129032258064626,124,0.47950012218695337,2,0
Cartoon_Characters,IndE,32.5,28.000000000000004,-4.4999999999999964,200,0.03886710381241731,12,3
Drug_Crimes,IndE,96.0,96.0,0.0,200,0.0,0,0
Explicit_Pornography,IndE,97.5,96.25,-1.25,80,1.0,1,0
Illegal_Trade,IndE,50.0,49.5,-0.5,200,1.0,10,9
LOGO,IndE,25.0,20.5,-4.5,200,0.03886710381241731,12,3
Other_Disturbing_Content,IndE,43.037974683544306,37.9746835443038,-5.063291139240505,79,0.13361440253771584,4,0
Other_Illegal_Content,IndE,62.06896551724138,63.793103448275865,1.724137931034484,58,1.0,0,1
Political_Figures,IndE,83.75634517766497,83.24873096446701,-0.5076142131979537,197,1.0,2,1
Political_Metaphor,IndE,92.42424242424242,90.40404040404042,-2.0202020202020066,198,0.22067136191984324,5,1
Terrifying_Content,IndE,76.38190954773869,72.36180904522614,-4.020100502512548,199,0.04330814281079206,10,2
Theft_and_Robbery,IndE,84.375,81.25,-3.125,96,0.4496917979688908,5,2
Weapons_and_Conflicts,IndE,94.24083769633508,92.67015706806284,-1.5706806282722425,191,0.24821307898992026,3,0
Bloody_Content,JamE,79.38144329896907,75.25773195876289,-4.123711340206185,194,0.22994905679421007,21,13
Borderline_Pornography,JamE,94.35483870967742,91.93548387096774,-2.4193548387096797,124,0.4496917979688908,5,2
Cartoon_Characters,JamE,32.5,25.5,-7.0,200,0.010787449254670376,20,6
Drug_Crimes,JamE,96.0,94.5,-1.5,200,0.4496917979688908,5,2
Explicit_Pornography,JamE,97.5,90.0,-7.5,80,0.041226833337163815,6,0
Illegal_Trade,JamE,50.0,66.0,16.0,200,2.4586136714663792e-05,11,43
LOGO,JamE,25.0,35.5,10.5,200,0.0017872890369872703,10,31
Other_Disturbing_Content,JamE,43.037974683544306,41.77215189873418,-1.2658227848101262,79,1.0,8,7
Other_Illegal_Content,JamE,62.06896551724138,65.51724137931035,3.448275862068968,58,0.7892680261342813,6,8
Political_Figures,JamE,83.75634517766497,81.7258883248731,-2.030456852791872,197,0.6264962743469111,21,17
Political_Metaphor,JamE,92.42424242424242,95.45454545454545,3.030303030303031,198,0.21129954733370696,5,11
Terrifying_Content,JamE,76.38190954773869,82.41206030150754,6.030150753768851,199,0.03763531378731436,8,20
Theft_and_Robbery,JamE,84.375,88.54166666666666,4.166666666666657,96,0.47950012218695337,7,11
Weapons_and_Conflicts,JamE,94.24083769633508,93.19371727748691,-1.0471204188481664,191,0.7518296340458492,6,4
