category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Benign_animals,AAVE,0.5,0.25,-0.25,400,1.0,1,0
Benign_food,AAVE,0.0,0.0,0.0,400,0.0,0,0
Benign_home_scenes,AAVE,0.0,0.0,0.0,400,0.0,0,0
Benign_human_beings,AAVE,0.5,0.0,-0.5,400,0.47950012218695337,2,0
Benign_landscapes,AAVE,0.0,0.0,0.0,400,0.0,0,0
Benign_transport_vehicles,AAVE,0.25,0.25,0.0,400,0.0,0,0
Benign_animals,ChcE,0.5,0.5,0.0,400,0.0,0,0
Benign_food,ChcE,0.0,0.25,0.25,400,1.0,0,1
Benign_home_scenes,ChcE,0.0,0.0,0.0,400,0.0,0,0
Benign_human_beings,ChcE,0.5,0.25,-0.25,400,1.0,2,1
Benign_landscapes,ChcE,0.0,0.0,0.0,400,0.0,0,0
Benign_transport_vehicles,ChcE,0.25,0.25,0.0,400,0.0,0,0
Benign_animals,CollSgE,0.5,0.75,0.25,400,1.0,0,1
Benign_food,CollSgE,0.0,0.25,0.25,400,1.0,0,1
Benign_home_scenes,CollSgE,0.0,0.0,0.0,400,0.0,0,0
Benign_human_beings,CollSgE,0.5,0.25,-0.25,400,1.0,1,0
Benign_landscapes,CollSgE,0.0,0.0,0.0,400,0.0,0,0
Benign_transport_vehicles,CollSgE,0.25,0.25,0.0,400,0.0,0,0
Benign_animals,IndE,0.5,0.5,0.0,400,0.0,0,0
Benign_food,IndE,0.0,0.0,0.0,400,0.0,0,0
Benign_home_scenes,IndE,0.0,0.0,0.0,400,0.0,0,0
Benign_human_beings,IndE,0.5,0.5,0.0,400,0.0,0,0
Benign_landscapes,IndE,0.0,0.0,0.0,400,0.0,0,0
Benign_transport_vehicles,IndE,0.25,0.0,-0.25,400,1.0,1,0
Benign_animals,JamE,0.5,0.5,0.0,400,0.47950012218695337,1,1
Benign_food,JamE,0.0,0.0,0.0,400,0.0,0,0
Benign_home_scenes,JamE,0.0,0.0,0.0,400,0.0,0,0
Benign_human_beings,JamE,0.5,0.25,-0.25,400,1.0,2,1
Benign_landscapes,JamE,0.0,0.0,0.0,400,0.0,0,0
Benign_transport_vehicles,JamE,0.25,0.25,0.0,400,0.47950012218695337,1,1
