category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Bloody_Content,AAVE,93.81443298969072,85.05154639175258,-8.762886597938135,194,0.00010421194515808901,17,0
Borderline_Pornography,AAVE,78.2258064516129,71.7741935483871,-6.451612903225794,124,0.0613688291394023,11,3
Cartoon_Characters,AAVE,0.0,0.0,0.0,200,0.0,0,0
Drug_Crimes,AAVE,0.0,0.0,0.0,200,0.0,0,0
Explicit_Pornography,AAVE,81.25,77.5,-3.75,80,0.4496917979688908,5,2
Illegal_Trade,AAVE,0.0,0.0,0.0,200,0.0,0,0
LOGO,AAVE,0.0,0.0,0.0,200,0.0,0,0
Other_Disturbing_Content,AAVE,46.835443037974684,36.708860759493675,-10.12658227848101,79,0.01332832878081758,8,0
Other_Illegal_Content,AAVE,10.344827586206897,13.793103448275861,3.4482758620689644,58,0.47950012218695337,0,2
Political_Figures,AAVE,4.568527918781726,3.5532994923857872,-1.0152284263959386,197,0.6830913983096086,4,2
Political_Metaphor,AAVE,5.555555555555555,4.040404040404041,-1.5151515151515147,198,0.24821307898992026,3,0
Terrifying_Content,AAVE,51.256281407035175,37.68844221105528,-13.567839195979893,199,5.623957756679237e-07,27,0
Theft_and_Robbery,AAVE,15.625,16.666666666666664,1.0416666666666643,96,1.0,2,3
Weapons_and_Conflicts,AAVE,73.82198952879581,71.72774869109948,-2.094240837696333,191,0.22067136191984324,5,1
Bloody_Content,ChcE,93.81443298969072,89.69072164948454,-4.123711340206171,194,0.04330814281079206,10,2
Borderline_Pornography,ChcE,78.2258064516129,76.61290322580645,-1.6129032258064484,124,0.8025873486341526,9,7
Cartoon_Characters,ChcE,0.0,0.0,0.0,200,0.0,0,0
Drug_Crimes,ChcE,0.0,0.5,0.5,200,1.0,0,1
Explicit_Pornography,ChcE,81.25,83.75,2.5,80,0.8025873486341526,7,9
Illegal_Trade,ChcE,0.0,0.5,0.5,200,1.0,0,1
LOGO,ChcE,0.0,0.0,0.0,200,0.0,0,0
Other_Disturbing_Content,ChcE,46.835443037974684,36.708860759493675,-10.12658227848101,79,0.02685669550752441,9,1
Other_Illegal_Content,ChcE,10.344827586206897,13.793103448275861,3.4482758620689644,58,0.47950012218695337,0,2
Political_Figures,ChcE,4.568527918781726,3.5532994923857872,-1.0152284263959386,197,0.7728299926844475,7,5
Political_Metaphor,ChcE,5.555555555555555,5.555555555555555,0.0,198,0.7728299926844475,6,6
Terrifying_Content,ChcE,51.256281407035175,40.20100502512563,-11.055276381909543,199,7.228793882618061e-05,25,3
Theft_and_Robbery,ChcE,15.625,14.583333333333334,-1.041666666666666,96,1.0,2,1
Weapons_and_Conflicts,ChcE,73.82198952879581,71.72774869109948,-2.094240837696333,191,0.2888443663464818,6,2
Bloody_Content,CollSgE,93.81443298969072,88.14432989690721,-5.670103092783506,194,0.021781462791119595,15,4
Borderline_Pornography,CollSgE,78.2258064516129,72.58064516129032,-5.6451612903225765,124,0.21090292605660677,15,8
Cartoon_Characters,CollSgE,0.0,0.0,0.0,200,0.0,0,0
Drug_Crimes,CollSgE,0.0,0.5,0.5,200,1.0,0,1
Explicit_Pornography,CollSgE,81.25,80.0,-1.25,80,1.0,13,12
Illegal_Trade,CollSgE,0.0,0.0,0.0,200,0.0,0,0
LOGO,CollSgE,0.0,0.0,0.0,200,0.0,0,0
Other_Disturbing_Content,CollSgE,46.835443037974684,41.77215189873418,-5.063291139240505,79,0.22067136191984324,5,1
Other_Illegal_Content,CollSgE,10.344827586206897,12.068965517241379,1.7241379310344822,58,1.0,0,1
Political_Figures,CollSgE,4.568527918781726,4.060913705583756,-0.5076142131979697,197,1.0,3,2
Political_Metaphor,CollSgE,5.555555555555555,5.555555555555555,0.0,198,0.7892680261342813,7,7
Terrifying_Content,CollSgE,51.256281407035175,45.7286432160804,-5.527638190954775,199,0.03705621856411898,17,6
